id,nominal_feature
631,Category_M
166,Category_O
130,Category_Z
442,Category_V
388,Category_R
610,Category_V
799,Category_S
163,Category_R
601,Category_Q
106,Category_R
16,Category_I
52,Category_T
211,Category_Q
70,Category_L
643,Category_Q
451,Category_K
274,Category_F
205,Category_P
865,Category_L
445,Category_O
805,Category_Z
589,Category_J
25,Category_R
238,Category_C
697,Category_O
19,Category_O
88,Category_T
823,Category_M
670,Category_B
868,Category_U
217,Category_Q
259,Category_A
457,Category_I
568,Category_S
634,Category_Q
664,Category_S
244,Category_U
91,Category_Z
808,Category_I
316,Category_I
613,Category_F
13,Category_C
289,Category_M
562,Category_C
370,Category_K
637,Category_L
226,Category_M
574,Category_W
82,Category_T
382,Category_J
817,Category_R
826,Category_R
655,Category_O
535,Category_M
247,Category_Q
208,Category_N
571,Category_R
502,Category_X
640,Category_T
850,Category_M
334,Category_J
898,Category_V
877,Category_V
424,Category_C
739,Category_C
448,Category_G
250,Category_Z
604,Category_T
433,Category_U
565,Category_T
181,Category_G
682,Category_F
679,Category_U
727,Category_Q
859,Category_K
478,Category_U
349,Category_F
439,Category_V
832,Category_E
628,Category_A
229,Category_B
751,Category_K
556,Category_M
409,Category_B
172,Category_S
124,Category_G
109,Category_P
100,Category_E
538,Category_S
745,Category_K
694,Category_C
616,Category_V
355,Category_G
598,Category_F
550,Category_G
7,Category_Q
883,Category_H
703,Category_K
235,Category_D
67,Category_H
328,Category_B
367,Category_S
454,Category_Y
847,Category_O
295,Category_F
721,Category_A
463,Category_X
517,Category_S
133,Category_X
472,Category_L
256,Category_I
769,Category_V
838,Category_H
262,Category_K
160,Category_Q
325,Category_I
358,Category_A
772,Category_G
280,Category_K
766,Category_Z
874,Category_X
709,Category_M
34,Category_A
700,Category_M
667,Category_X
154,Category_R
895,Category_Z
4,Category_T
757,Category_I
748,Category_K
676,Category_F
112,Category_W
94,Category_J
79,Category_X
553,Category_F
28,Category_U
379,Category_G
811,Category_T
271,Category_B
277,Category_B
361,Category_D
688,Category_G
340,Category_Z
421,Category_Y
103,Category_W
415,Category_I
406,Category_F
541,Category_H
775,Category_W
268,Category_L
193,Category_G
436,Category_M
793,Category_P
232,Category_O
61,Category_D
31,Category_X
253,Category_G
265,Category_Q
115,Category_E
37,Category_T
178,Category_W
742,Category_S
142,Category_B
658,Category_M
343,Category_N
622,Category_L
466,Category_R
871,Category_V
214,Category_J
184,Category_K
685,Category_Z
892,Category_K
559,Category_W
394,Category_R
889,Category_S
511,Category_O
691,Category_J
661,Category_R
391,Category_U
796,Category_Z
790,Category_G
427,Category_B
49,Category_M
145,Category_F
331,Category_Z
322,Category_X
76,Category_D
319,Category_A
313,Category_E
412,Category_F
547,Category_S
484,Category_E
430,Category_N
577,Category_O
652,Category_S
286,Category_R
85,Category_E
403,Category_J
880,Category_E
307,Category_L
886,Category_L
418,Category_V
376,Category_O
829,Category_H
352,Category_U
175,Category_M
337,Category_I
835,Category_U
580,Category_V
505,Category_R
121,Category_M
712,Category_U
646,Category_U
40,Category_V
763,Category_R
592,Category_F
715,Category_F
400,Category_G
853,Category_H
148,Category_E
190,Category_V
718,Category_E
814,Category_R
514,Category_W
496,Category_H
364,Category_A
241,Category_T
841,Category_I
136,Category_Z
724,Category_J
625,Category_J
529,Category_K
523,Category_W
43,Category_S
586,Category_K
490,Category_M
583,Category_G
460,Category_M
733,Category_F
196,Category_N
862,Category_Q
802,Category_I
487,Category_Q
778,Category_Y
856,Category_C
520,Category_V
706,Category_R
499,Category_K
649,Category_U
298,Category_K
157,Category_I
760,Category_V
493,Category_C
169,Category_D
199,Category_X
64,Category_Q
844,Category_O
283,Category_J
220,Category_T
595,Category_J
55,Category_N
730,Category_C
301,Category_G
304,Category_J
10,Category_V
532,Category_D
118,Category_J
1,Category_H
787,Category_W
187,Category_D
385,Category_M
346,Category_A
46,Category_W
820,Category_D
292,Category_Y
397,Category_P
481,Category_K
58,Category_N
475,Category_M
97,Category_S
151,Category_E
784,Category_K
673,Category_Q
373,Category_L
310,Category_Z
781,Category_E
607,Category_X
619,Category_B
544,Category_U
22,Category_K
139,Category_V
469,Category_H
508,Category_K
127,Category_F
73,Category_K
754,Category_C
736,Category_Q
526,Category_C
202,Category_I
223,Category_P
